type,time,category,amount
0,1561910000000,8s0p77c323,5400
0,1561910000000,0fnhbcle6hg,1500
0,1563900000000,3tqndrjqgrg,3900
0,1564500000000,bsn20th0k2o,1900
0,1564590000000,8s0p77c323,5400
0,1564590000000,0fnhbcle6hg,1500
0,1564590000000,3tqndrjqgrg,5000
0,1566320000000,bsn20th0k2o,2000
0,1567270000000,8s0p77c323,5400
0,1567270000000,0fnhbcle6hg,1500
0,1569770000000,1bcddudhmh,3000
0,1569770000000,bsn20th0k2o,1500
0,1569770000000,3tqndrjqgrg,5000
0,1569860000000,0fnhbcle6hg,1500
0,1572360000000,odrjk823mj8,3000
0,1572450000000,3tqndrjqgrg,4600
0,1572450000000,3tqndrjqgrg,3800
0,1572540000000,0fnhbcle6hg,1500
0,1574180000000,odrjk823mj8,2000
0,1574870000000,1bcddudhmh,3000
0,1574960000000,8s0p77c323,5400
0,1575040000000,3tqndrjqgrg,5000
0,1575130000000,0fnhbcle6hg,1500
0,1577290000000,3tqndrjqgrg,4000
0,1577350000000,odrjk823mj8,2000
0,1577350000000,1bcddudhmh,3000
0,1577350000000,j1h1nohhmmo,800
0,1577350000000,bsn20th0k2o,1000
0,1577350000000,hc5g66kviq,2000
0,1577350000000,8s0p77c323,5400
0,1577350000000,1bcddudhmh,3000
0,1577350000000,3tqndrjqgrg,3900
0,1577550000000,8s0p77c323,5400
1,1561910000000,s73ijpispio,30000
1,1564500000000,5il79e11628,1000
1,1567090000000,1vjj47vpd28,3000
1,1567180000000,s73ijpispio,28000
1,1569770000000,s73ijpispio,28000
1,1569770000000,1vjj47vpd28,2000
1,1572450000000,s73ijpispio,20000
1,1577350000000,s73ijpispio,30000
1,1577350000000,1vjj47vpd28,10000
1,1577350000000,5il79e11628,1000
1,1577350000000,s73ijpispio,3000
1,1577350000000,5il79e11628,2000
1,1577350000000,1vjj47vpd28,2000
